method,dataset,sequence,vr,rmse_m,p_max,esr_camera,rr_camera,esr_measurement,rr_measurement,esr_gps,rr_gps
delay_aware,euroc,MH_03_medium,0.0,0.5377452369285912,0.08459444491149118,2.8519692168401996,85.73584905660377,2.8519692168401996,85.73584905660377,,
delay_aware,euroc,MH_04_medium,0.0,0.48414117890127795,0.08459444491149118,2.855701311806256,85.72149344096871,2.855701311806256,85.72149344096871,,
delay_aware,euroc,MH_05_difficult,0.0,0.44327159779742686,0.08459444491149118,2.8531569236307996,85.73357335733573,2.8531569236307996,85.73357335733573,,
delay_aware,euroc,V1_01_easy,0.0,0.22234770531203787,0.08459444491149118,2.8581411600279525,85.70929419986024,2.8581411600279525,85.70929419986024,,
delay_aware,euroc,V1_02_medium,0.0,0.46691245387702995,0.08459444491149118,2.855421686746988,85.72289156626508,2.855421686746988,85.72289156626508,,
delay_aware,euroc,V1_03_difficult,0.0,0.3870401997590599,0.08459444491149118,2.857142857142857,85.70747975226298,2.857142857142857,85.70747975226298,,
delay_aware,euroc,V2_01_easy,0.0,0.17297373980887507,0.08459444491149118,2.8520179372197307,85.73991031390135,2.8520179372197307,85.73991031390135,,
delay_aware,euroc,V2_02_medium,0.0,0.3357281532826514,0.08459444491149118,2.8534145280556764,85.72671888598782,2.8534145280556764,85.72671888598782,,
delay_aware,euroc,V2_03_difficult,0.0,0.3551732845186343,0.08459444491149118,2.728465238303454,83.32442544094067,2.728465238303454,83.32442544094067,,
sb_sched,euroc,MH_01_easy,0.0,0.34548645923610166,0.08459444491149118,2.494553376906318,87.52723311546842,2.494553376906318,87.52723311546842,,
sb_sched,euroc,MH_02_easy,0.0,0.35877491442885295,0.08459444491149118,2.495049504950495,87.52475247524754,2.495049504950495,87.52475247524754,,
sb_sched,euroc,MH_03_medium,0.0,0.5612207076070245,0.08459444491149118,2.4899658094247066,87.54641251391885,2.4899658094247066,87.54641251391885,,
sb_sched,euroc,MH_04_medium,0.0,0.49534565470372566,0.08459444491149118,2.492581602373887,87.53709198813056,2.492581602373887,87.53709198813056,,
sb_sched,euroc,MH_05_difficult,0.0,0.45399240473830443,0.08459444491149118,2.493258476636753,87.53314657755507,2.493258476636753,87.53314657755507,,
sb_sched,euroc,V1_01_easy,0.0,0.22866266031884863,0.08459444491149118,2.494831150930393,87.52584424534803,2.494831150930393,87.52584424534803,,
sb_sched,euroc,V1_02_medium,0.0,0.4898141068408531,0.08459444491149118,2.4941176470588236,87.52941176470588,2.4941176470588236,87.52941176470588,,
sb_sched,euroc,V1_03_difficult,0.0,0.4021234578193698,0.08459444491149118,2.4953271028037385,87.51742040045771,2.4953271028037385,87.51742040045771,,
sb_sched,euroc,V2_01_easy,0.0,0.17754529938786384,0.08459444491149118,2.4933920704845813,87.5330396475771,2.4933920704845813,87.5330396475771,,
sb_sched,euroc,V2_02_medium,0.0,0.35164781853553256,0.08459444491149118,2.4882428388200086,87.55337187457091,2.4882428388200086,87.55337187457091,,
